COUNTRY,YEAR,family_cash_allowances_pct_gdp,family_cash_leave_pct_gdp,family_cash_other_cash_pct_gdp,family_cash_total_pct_gdp,family_service_accomodation_pct_gdp,family_service_childcare_pct_gdp,family_service_other_services_pct_gdp,family_service_total_pct_gdp,family_total_total_pct_gdp
ISR,2007,0.704,0.227,0.024,0.956,NA,0.591,0.251,0.841,1.797
ISR,2008,0.687,0.275,0.026,0.988,NA,0.615,0.246,0.862,1.849
ISR,2009,0.711,0.286,0.025,1.022,NA,0.66,0.255,0.915,1.937
ISR,2010,0.736,0.285,0.025,1.047,NA,0.722,0.254,0.976,2.023
ISR,2011,0.763,0.287,0.023,1.073,NA,0.615,0.27,0.886,1.959
ISR,2012,0.75,0.295,0.023,1.069,NA,0.642,0.293,0.934,2.003
ISR,2013,0.625,0.298,0.022,0.945,NA,0.779,0.282,1.061,2.006
ISR,2014,0.463,0.31,0.024,0.798,NA,0.783,0.285,1.068,1.866
ISR,2015,0.497,0.302,0.022,0.822,NA,0.787,0.285,1.073,1.894
ISR,2016,0.512,0.301,0.023,0.837,NA,0.813,0.292,1.105,1.942
ISR,2017,0.788,0.331,0.022,1.141,NA,0.844,0.318,1.162,2.304
ITA,2000,0.449,0.118,0.041,0.608,NA,0.484,0.076,0.559,1.168
ITA,2001,0.438,0.134,0.062,0.634,NA,0.509,0.082,0.591,1.225
ITA,2002,0.407,0.146,0.046,0.598,NA,0.433,0.091,0.524,1.122
ITA,2003,0.405,0.172,0.052,0.628,NA,0.486,0.1,0.586,1.215
ITA,2004,0.4,0.18,0.055,0.635,NA,0.497,0.099,0.595,1.23
ITA,2005,0.384,0.17,0.058,0.613,NA,0.504,0.101,0.604,1.217
ITA,2006,0.361,0.171,0.105,0.638,NA,0.553,0.106,0.659,1.297
ITA,2007,0.398,0.174,0.118,0.689,NA,0.521,0.115,0.635,1.325
ITA,2008,0.412,0.18,0.104,0.696,NA,0.552,0.119,0.671,1.366
ITA,2009,0.426,0.194,0.206,0.826,NA,0.547,0.139,0.685,1.511
ITA,2010,0.402,0.189,0.104,0.694,NA,0.525,0.137,0.662,1.356
ITA,2011,0.405,0.193,0.116,0.715,NA,0.513,0.123,0.637,1.352
ITA,2012,0.415,0.201,0.125,0.741,NA,0.536,0.121,0.657,1.398
ITA,2013,0.422,0.202,0.149,0.774,NA,0.546,0.115,0.661,1.435
ITA,2014,0.421,0.194,0.501,1.116,NA,0.543,0.117,0.659,1.776
ITA,2015,0.403,0.184,0.705,1.293,NA,0.558,0.105,0.663,1.956
JPN,2000,0.137,0.102,0.002,0.24,0.002,0.292,0.087,0.38,0.62
JPN,2001,0.166,0.109,0.002,0.277,0.002,0.308,0.089,0.398,0.676
JPN,2002,0.175,0.112,0.002,0.29,0.002,0.319,0.098,0.419,0.709
JPN,2003,0.179,0.111,0.002,0.293,0.002,0.323,0.093,0.418,0.71
JPN,2004,0.217,0.112,0.002,0.331,0.002,0.319,0.1,0.422,0.752
JPN,2005,0.222,0.111,0.002,0.335,0.02,0.308,0.118,0.446,0.781
JPN,2006,0.257,0.118,0.002,0.378,0.015,0.315,0.061,0.39,0.767
JPN,2007,0.289,0.127,0.002,0.419,0.018,0.317,0.019,0.354,0.773
JPN,2008,0.305,0.138,0.003,0.446,0.072,0.286,0.022,0.38,0.827
JPN,2009,0.329,0.155,0.005,0.489,0.073,0.315,0.025,0.412,0.901
JPN,2010,0.614,0.176,0.006,0.796,0.07,0.347,0.021,0.438,1.234
JPN,2011,0.653,0.185,0.006,0.844,0.057,0.371,0.022,0.45,1.294
JPN,2012,0.591,0.179,0.006,0.776,0.061,0.38,0.021,0.463,1.238
JPN,2013,0.574,0.182,0.005,0.761,0.067,0.381,0.024,0.471,1.232
JPN,2014,0.546,0.193,0.031,0.77,0.074,0.407,0.025,0.506,1.276
JPN,2015,0.525,0.204,0.013,0.741,0.088,0.438,0.041,0.567,1.309
KOR,2000,0.003,NA,NA,0.003,0.01,0.08,0.011,0.102,0.105
KOR,2001,0.003,NA,NA,0.003,0.012,0.107,0.015,0.134,0.137
KOR,2002,0.002,0.003,NA,0.006,0.012,0.104,0.012,0.128,0.134
KOR,2003,0.002,0.005,NA,0.007,0.012,0.126,0.012,0.149,0.156
KOR,2004,0.003,0.007,NA,0.01,0.03,0.106,0.042,0.179,0.189
KOR,2005,0.003,0.008,NA,0.011,0.03,0.145,0.045,0.22,0.232
KOR,2006,0.003,0.013,NA,0.016,0.115,0.243,0.118,0.476,0.492
KOR,2007,0.003,0.019,0,0.022,0.036,0.295,0.082,0.413,0.435
KOR,2008,0.006,0.024,0.002,0.032,0.013,0.498,0.022,0.533,0.565
KOR,2009,0.013,0.028,0.002,0.042,0.016,0.594,0.027,0.637,0.679
KOR,2010,0.016,0.029,0.002,0.048,0.003,0.621,0.028,0.652,0.699
KOR,2011,0.02,0.038,0.002,0.06,0.006,0.611,0.025,0.641,0.702
KOR,2012,0.019,0.044,0.003,0.065,0.007,0.756,0.043,0.806,0.871
KOR,2013,0.127,0.046,0.003,0.176,0.007,0.956,0.062,1.024,1.2
KOR,2014,0.132,0.05,0.003,0.184,0.005,0.938,0.054,0.997,1.181
KOR,2015,0.121,0.056,0.003,0.18,0.007,0.953,0.055,1.015,1.195
KOR,2016,0.113,0.053,0.003,0.168,0.008,0.98,0.055,1.044,1.212
KOR,2017,0.099,0.054,0.003,0.157,0.007,0.958,0.059,1.025,1.181
LTU,2000,0.263,0.405,0.272,0.939,0.133,0.092,0.162,0.387,1.326
LTU,2001,0.237,0.309,0.261,0.807,0.117,0.091,0.155,0.363,1.17
LTU,2002,0.213,0.27,0.251,0.733,0.122,0.09,0.151,0.363,1.096
LTU,2003,0.183,0.26,0.224,0.667,0.116,0.087,0.14,0.344,1.011
LTU,2004,0.273,0.285,0.161,0.719,0.121,0.085,0.201,0.406,1.125
LTU,2005,0.399,0.291,0.058,0.748,0.113,0.672,0.188,0.973,1.721
LTU,2006,0.34,0.324,0.052,0.716,0.091,0.661,0.187,0.938,1.654
LTU,2007,0.314,0.443,0.044,0.801,0.089,0.614,0.154,0.857,1.658
LTU,2008,0.472,0.93,0.037,1.44,0.099,0.61,0.166,0.875,2.315
LTU,2009,0.588,1.644,0.049,2.281,0.122,0.841,0.212,1.175,3.456
LTU,2010,0.221,1.474,0.07,1.765,0.102,0.79,0.186,1.078,2.844
LTU,2011,0.168,1.044,0.073,1.285,0.093,0.804,0.167,1.064,2.349
LTU,2012,0.153,0.784,0.064,1.001,0.074,0.727,0.149,0.951,1.952
LTU,2013,0.142,0.602,0.058,0.801,0.067,0.731,0.12,0.918,1.719
LTU,2014,0.129,0.597,0.046,0.772,0.065,0.732,0.111,0.909,1.681
LTU,2015,0.12,0.635,0.041,0.795,0.065,0.788,0.101,0.953,1.748
LUX,2000,1.863,0.651,0.013,2.527,0.036,0.408,NA,0.444,2.971
LUX,2001,1.793,0.41,0.397,2.6,0.015,0.349,0.108,0.471,3.071
LUX,2002,2.029,0.43,0.39,2.848,0.015,0.383,0.109,0.507,3.355
LUX,2003,2.083,0.45,0.705,3.239,0.016,0.376,0.115,0.507,3.745
LUX,2004,2.059,0.455,0.666,3.18,0.015,0.379,0.117,0.511,3.691
LUX,2005,2.008,0.46,0.608,3.076,0.015,0.394,0.114,0.523,3.598
LUX,2006,1.888,0.426,0.552,2.866,0.014,0.397,0.106,0.517,3.383
LUX,2007,1.784,0.397,0.504,2.685,0.013,0.36,0.101,0.475,3.16
LUX,2008,2.46,0.417,0.505,3.382,0.014,0.558,0.101,0.673,4.055
LUX,2009,2.564,0.467,0.52,3.551,0.015,0.415,0.108,0.539,4.089
LUX,2010,2.375,0.459,0.462,3.296,0.014,0.526,0.104,0.645,3.941
LUX,2011,2.058,0.418,0.426,2.902,0.014,0.513,0.095,0.622,3.525
LUX,2012,2.014,0.426,0.409,2.849,0.014,0.65,0.101,0.765,3.614
LUX,2013,1.923,0.418,0.382,2.723,0.015,0.772,0.105,0.892,3.615
LUX,2014,1.84,0.405,0.354,2.599,0.015,0.726,0.099,0.839,3.438
LUX,2015,1.785,0.395,0.327,2.506,0.015,0.741,0.105,0.861,3.367
LVA,2000,0.809,0.298,0.118,1.224,0.138,0.079,0.049,0.267,1.491
LVA,2001,0.756,0.31,0.106,1.173,0.131,0.091,0.046,0.268,1.441
LVA,2002,0.708,0.26,0.104,1.072,0.134,0.094,0.043,0.271,1.343
LVA,2003,0.771,0.231,0.087,1.09,0.127,0.094,0.024,0.244,1.334
LVA,2004,0.72,0.209,0.077,1.006,0.116,0.095,0.021,0.232,1.238
LVA,2005,0.598,0.341,0.089,1.028,0.103,0.091,0.02,0.214,1.242
LVA,2006,0.495,0.345,0.085,0.926,0.093,0.087,0.018,0.198,1.124
LVA,2007,0.48,0.346,0.073,0.899,0.084,0.091,0.016,0.191,1.09
LVA,2008,0.494,0.517,0.083,1.094,0.093,0.692,0.019,0.804,1.899
LVA,2009,0.628,0.73,0.095,1.454,0.102,0.849,0.029,0.979,2.433
LVA,2010,0.55,0.596,0.12,1.266,0.088,0.76,0.04,0.887,2.153
LVA,2011,0.392,0.38,0.111,0.882,0.078,0.738,0.036,0.851,1.734
LVA,2012,0.357,0.322,0.101,0.779,0.075,0.707,0.032,0.813,1.593
LVA,2013,0.374,0.447,0.111,0.931,0.079,0.744,0.028,0.851,1.783
LVA,2014,0.379,0.51,0.134,1.023,0.073,0.797,0.023,0.892,1.915
LVA,2015,0.517,0.592,0.169,1.278,0.071,0.756,0.027,0.854,2.132
MEX,2000,NA,NA,0.143,0.143,0.001,0.406,0.051,0.458,0.601
MEX,2001,NA,NA,0.175,0.175,0.001,0.409,0.055,0.465,0.64
MEX,2002,NA,NA,0.228,0.228,0.001,0.465,0.044,0.51,0.738
MEX,2003,NA,NA,0.284,0.284,0.001,0.611,0.036,0.649,0.932
MEX,2004,NA,NA,0.291,0.291,0.001,0.49,0.037,0.528,0.818
MEX,2005,NA,NA,0.325,0.325,0.001,0.525,0.047,0.573,0.898
MEX,2006,NA,NA,0.315,0.315,0.001,0.545,0.049,0.596,0.911
MEX,2007,NA,NA,0.317,0.317,0.001,0.529,0.067,0.597,0.914
MEX,2008,NA,NA,0.338,0.338,0.001,0.609,0.071,0.681,1.018
MEX,2009,NA,NA,0.384,0.384,0.001,0.559,0.045,0.605,0.989
MEX,2010,NA,NA,0.43,0.43,0.001,0.562,0.047,0.61,1.04
MEX,2011,NA,NA,0.403,0.403,0.001,0.564,0.034,0.598,1.001
MEX,2012,NA,NA,0.421,0.421,0.001,0.543,0.024,0.568,0.989
MEX,2013,NA,NA,0.393,0.393,0.001,0.558,0.024,0.584,0.977
MEX,2014,NA,NA,0.39,0.39,0.001,0.548,0.03,0.578,0.969
MEX,2015,NA,NA,0.44,0.44,0.001,0.561,0.028,0.589,1.03
MEX,2016,NA,NA,0.46,0.46,0.001,0.564,0.026,0.59,1.05
NLD,2000,0.65,0.018,0.084,0.751,0.376,0.328,NA,0.703,1.455
NLD,2001,0.63,0.017,0.084,0.73,0.37,0.35,NA,0.721,1.451
NLD,2002,0.631,0.016,0.15,0.797,0.434,0.376,NA,0.81,1.607
NLD,2003,0.631,0.016,0.135,0.782,0.504,0.404,NA,0.908,1.69
NLD,2004,0.617,0.016,0.136,0.769,0.506,0.395,NA,0.901,1.67
NLD,2005,0.585,0.016,0.027,0.628,0.504,0.534,NA,1.038,1.667
NLD,2006,0.563,0.015,0.034,0.613,0.651,0.522,NA,1.173,1.786
NLD,2007,0.546,0.015,0.033,0.594,0.574,0.672,NA,1.247,1.84
NLD,2008,0.659,0.014,0.032,0.706,0,0.779,NA,0.779,1.485
NLD,2009,0.703,0.015,0.032,0.751,0,0.86,NA,0.86,1.611
NLD,2010,0.676,0.015,0.033,0.724,0,0.841,NA,0.841,1.565
NLD,2011,0.672,0.015,0.009,0.696,0,0.822,NA,0.822,1.519
NLD,2012,0.643,0.014,0.025,0.682,0,0.74,NA,0.74,1.422
NLD,2013,0.632,0.027,0.011,0.67,0,0.682,NA,0.682,1.352
NLD,2014,0.624,0.014,0.011,0.648,0,0.629,NA,0.629,1.278
NLD,2015,0.737,0.12,0.002,0.859,0,0.596,NA,0.596,1.455
NOR,2000,0.83,0.767,0.225,1.822,0.113,0.688,0.372,1.173,2.995
NOR,2001,0.948,0.765,0.176,1.89,0.121,0.725,0.392,1.238,3.128
NOR,2002,0.96,0.734,0.212,1.906,0.279,0.616,0.225,1.12,3.025
NOR,2003,0.907,0.749,0.203,1.859,0.308,0.689,0.217,1.214,3.073
NOR,2004,0.798,0.722,0.193,1.712,0.306,0.746,0.206,1.258,2.971
NOR,2005,0.719,0.647,0.179,1.545,0.307,0.756,0.183,1.246,2.791
NOR,2006,0.648,0.575,0.158,1.381,0.304,0.835,0.172,1.311,2.692
NOR,2007,0.613,0.563,0.142,1.318,0.319,0.927,0.18,1.426,2.744
NOR,2008,0.558,0.539,0.225,1.323,0.304,0.98,0.12,1.403,2.726
NOR,2009,0.608,0.633,0.251,1.491,0.36,1.193,0.138,1.69,3.181
NOR,2010,0.573,0.626,0.24,1.438,0.364,1.207,0.137,1.708,3.146
NOR,2011,0.532,0.613,0.226,1.371,0.366,1.218,0.15,1.734,3.106
NOR,2012,0.507,0.597,0.218,1.322,0.369,1.206,0.146,1.721,3.042
NOR,2013,0.494,0.596,0.211,1.301,0.38,1.25,0.153,1.783,3.084
NOR,2014,0.481,0.625,0.207,1.313,0.385,1.294,0.162,1.842,3.155
NOR,2015,0.485,0.672,0.201,1.358,0.406,1.328,0.167,1.901,3.259
NZL,2000,0.873,0,1.194,2.067,NA,0.527,0.05,0.576,2.644
NZL,2001,0.799,0,1.156,1.955,NA,0.507,0.053,0.56,2.515
NZL,2002,0.747,0.041,1.116,1.904,NA,0.515,0.054,0.569,2.473
NZL,2003,0.688,0.044,1.077,1.809,NA,0.522,0.053,0.575,2.384
NZL,2004,0.643,0.049,0.994,1.686,NA,0.531,0.053,0.584,2.27
NZL,2005,0.869,0.059,0.909,1.836,NA,0.568,0.211,0.779,2.615
NZL,2006,1.282,0.07,0.846,2.198,NA,0.576,0.207,0.784,2.982
NZL,2007,1.325,0.072,0.785,2.182,NA,0.647,0.201,0.848,3.03
NZL,2008,1.399,0.075,0.801,2.274,NA,0.77,0.209,0.979,3.254
NZL,2009,1.425,0.079,0.865,2.369,NA,0.889,0.219,1.108,3.477
NZL,2010,1.34,0.075,0.857,2.272,NA,0.927,0.212,1.139,3.412
NZL,2011,1.243,0.073,0.843,2.159,NA,0.94,0.204,1.144,3.304
NZL,2012,1.184,0.075,0.793,2.053,NA,0.924,0.209,1.133,3.186
NZL,2013,1.081,0.07,0.549,1.7,NA,0.926,0.202,1.128,2.828
NZL,2014,0.986,0.074,0.487,1.548,NA,0.929,0.205,1.134,2.682
NZL,2015,0.918,0.085,0.45,1.453,NA,0.941,0.199,1.14,2.593
NZL,2016,0.853,0.101,0.426,1.38,NA,0.937,0.164,1.101,2.481
NZL,2017,0.784,0.099,0.383,1.266,NA,0.932,0.292,1.224,2.49
OECD,2000,0.78,0.28,0.149,1.144,0.098,0.435,0.145,0.614,1.758
OECD,2001,0.765,0.274,0.16,1.134,0.103,0.444,0.147,0.633,1.767
OECD,2002,0.763,0.27,0.165,1.141,0.117,0.459,0.16,0.664,1.805
OECD,2003,0.778,0.272,0.186,1.175,0.122,0.475,0.166,0.688,1.863
OECD,2004,0.765,0.279,0.177,1.161,0.121,0.472,0.155,0.684,1.844
OECD,2005,0.762,0.287,0.152,1.144,0.122,0.5,0.161,0.717,1.86
OECD,2006,0.754,0.301,0.146,1.145,0.134,0.506,0.15,0.721,1.866
OECD,2007,0.739,0.314,0.15,1.154,0.127,0.511,0.158,0.728,1.882
OECD,2008,0.809,0.359,0.149,1.263,0.102,0.572,0.16,0.784,2.047
OECD,2009,0.863,0.433,0.165,1.4,0.117,0.623,0.178,0.857,2.257
OECD,2010,0.85,0.414,0.143,1.349,0.108,0.625,0.187,0.863,2.212
OECD,2011,0.797,0.377,0.139,1.26,0.105,0.626,0.182,0.856,2.116
OECD,2012,0.784,0.361,0.133,1.226,0.099,0.647,0.184,0.876,2.101
OECD,2013,0.767,0.353,0.127,1.196,0.094,0.673,0.18,0.898,2.094
OECD,2014,0.739,0.355,0.131,1.175,0.089,0.691,0.18,0.916,2.09
OECD,2015,0.676,0.319,0.117,1.111,0.055,0.651,0.156,0.862,1.974
POL,2000,0.506,0.283,0.161,0.95,NA,0.23,NA,0.23,1.181
POL,2001,0.48,0.323,0.176,0.978,NA,0.206,NA,0.206,1.185
POL,2002,0.452,0.319,0.197,0.968,NA,0.209,NA,0.209,1.176
POL,2003,0.396,0.28,0.212,0.888,NA,0.238,NA,0.238,1.126
POL,2004,0.541,0.247,0.11,0.898,0.055,0.276,0.002,0.333,1.231
POL,2005,0.534,0.233,0.082,0.85,0.073,0.284,0.002,0.359,1.209
POL,2006,0.427,0.267,0.133,0.827,0.073,0.288,0.002,0.363,1.189
POL,2007,0.418,0.263,0.12,0.801,0.071,0.282,0.002,0.355,1.156
POL,2008,0.341,0.284,0.115,0.74,0.074,0.43,0.002,0.506,1.246
POL,2009,0.295,0.324,0.129,0.748,0.07,0.468,0.002,0.54,1.288
POL,2010,0.308,0.342,0.132,0.782,0.07,0.48,0.003,0.554,1.335
POL,2011,0.262,0.317,0.13,0.709,0.065,0.512,0.004,0.58,1.289
POL,2012,0.234,0.34,0.087,0.66,0.122,0.453,0.003,0.579,1.239
POL,2013,0.233,0.369,0.089,0.69,0.125,0.582,0.011,0.718,1.408
POL,2014,0.208,0.486,0.087,0.781,0.123,0.611,0.013,0.747,1.534
PRT,2000,0.376,0.112,0.1,0.588,0.013,0.276,0.096,0.385,0.973
PRT,2001,0.375,0.116,0.102,0.593,0.013,0.3,0.102,0.416,1.008
PRT,2002,0.388,0.121,0.111,0.621,NA,0.31,0.375,0.685,1.306
PRT,2003,0.449,0.146,0.054,0.649,NA,0.377,0.382,0.759,1.409
PRT,2004,0.459,0.182,0.063,0.704,NA,0.371,0.087,0.459,1.163
PRT,2005,0.434,0.237,0.059,0.729,NA,0.374,0.078,0.452,1.181
PRT,2006,0.427,0.24,0.06,0.728,NA,0.36,0.076,0.436,1.163
PRT,2007,0.422,0.247,0.061,0.731,NA,0.345,0.077,0.422,1.153
PRT,2008,0.506,0.246,0.057,0.809,NA,0.352,0.074,0.426,1.235
PRT,2009,0.62,0.304,0.069,0.993,NA,0.375,0.078,0.453,1.446
PRT,2010,0.58,0.278,0.07,0.927,NA,0.387,0.071,0.458,1.385
PRT,2011,0.402,0.298,0.074,0.774,NA,0.372,0.062,0.433,1.207
PRT,2012,0.413,0.296,0.074,0.783,NA,0.377,0.077,0.454,1.236
PRT,2013,0.417,0.25,0.08,0.747,NA,0.407,0.086,0.493,1.24
PRT,2014,0.393,0.26,0.078,0.73,NA,0.415,0.083,0.498,1.228
PRT,2015,0.374,0.284,0.078,0.736,NA,0.383,0.077,0.46,1.196
SVK,2000,0.93,0.587,0.013,1.53,NA,0.424,0.015,0.439,1.969
SVK,2001,0.827,0.524,0.014,1.366,NA,0.435,0.015,0.449,1.815
SVK,2002,0.84,0.477,0.019,1.336,NA,0.456,0.002,0.459,1.794
SVK,2003,0.72,0.551,0.024,1.296,NA,0.471,0,0.471,1.767
SVK,2004,1.034,0.49,0.025,1.549,NA,0.403,0,0.403,1.952
SVK,2005,0.969,0.507,0.03,1.507,NA,0.391,0,0.391,1.898
SVK,2006,0.955,0.491,0.038,1.484,NA,0.379,0,0.379,1.862
SVK,2007,0.856,0.462,0.061,1.379,NA,0.374,0,0.374,1.753
SVK,2008,0.806,0.448,0.058,1.312,0,0.377,0,0.377,1.689
SVK,2009,0.958,0.526,0.058,1.542,NA,0.424,0.011,0.435,1.977
SVK,2010,0.917,0.609,0.056,1.581,NA,0.405,0.009,0.414,1.995
SVK,2011,0.865,0.651,0.057,1.573,NA,0.422,0.011,0.433,2.006
SVK,2012,0.855,0.65,0.062,1.567,NA,0.441,0.032,0.473,2.04
SVK,2013,0.843,0.641,0.057,1.542,0,0.472,0.035,0.507,2.048
SVK,2014,0.818,0.622,0.056,1.496,0,0.504,0.033,0.537,2.033
SVK,2015,0.786,0.61,0.051,1.447,0.002,0.502,0.029,0.532,1.979
SVN,2000,0.994,0.49,0.013,1.497,0.016,0.602,0.012,0.63,2.127
SVN,2001,0.953,0.502,0.012,1.468,0.014,0.594,0.009,0.618,2.086
SVN,2002,0.899,0.467,0.031,1.397,0.013,0.569,0.013,0.596,1.993
SVN,2003,0.898,0.421,0.046,1.365,0.022,0.556,0.012,0.589,1.954
SVN,2004,0.846,0.463,0.054,1.364,0.021,0.534,0.013,0.568,1.932
SVN,2005,0.812,0.482,0.047,1.341,0.02,0.529,0.013,0.562,1.904
SVN,2006,0.764,0.512,0.056,1.332,0.021,0.502,0.014,0.536,1.868
SVN,2007,0.7,0.444,0.054,1.198,0.021,0.467,0.014,0.501,1.699
SVN,2008,0.737,0.463,0.054,1.254,0.019,0.457,0.014,0.491,1.745
SVN,2009,0.793,0.683,0.062,1.537,0.019,0.484,0.015,0.519,2.056
SVN,2010,0.799,0.732,0.063,1.594,0.021,0.492,0.016,0.528,2.123
SVN,2011,0.796,0.748,0.068,1.612,0.02,0.492,0.016,0.527,2.14
SVN,2012,0.692,0.764,0.066,1.522,0.019,0.516,0.012,0.547,2.069
SVN,2013,0.611,0.712,0.063,1.386,0.018,0.523,0.012,0.553,1.94
SVN,2014,0.579,0.672,0.064,1.314,0.017,0.505,0.012,0.534,1.848
SVN,2015,0.568,0.639,0.062,1.268,0.016,0.487,0.011,0.514,1.783
SWE,2000,0.796,0.512,0.111,1.419,0.277,1.002,0.11,1.389,2.808
SWE,2001,0.852,0.53,0.101,1.483,0.319,1.016,0.121,1.456,2.939
SWE,2002,0.818,0.565,0.091,1.474,0.336,1.131,0.15,1.616,3.09
SWE,2003,0.783,0.602,0.08,1.465,0.368,1.165,0.144,1.676,3.141
SWE,2004,0.744,0.63,0.072,1.447,0.362,1.178,0.141,1.681,3.128
SWE,2005,0.738,0.625,0.067,1.43,0.361,1.228,0.136,1.725,3.154
SWE,2006,0.762,0.626,0.072,1.46,0.337,1.31,0.134,1.781,3.241
SWE,2007,0.713,0.639,0.064,1.417,0.335,1.32,0.125,1.781,3.198
SWE,2008,0.69,0.662,0.06,1.413,0.352,1.421,0.141,1.914,3.326
SWE,2009,0.71,0.716,0.062,1.489,0.385,1.518,0.144,2.048,3.536
SWE,2010,0.674,0.709,0.058,1.442,0.366,1.488,0.144,1.999,3.441
SWE,2011,0.66,0.705,0.056,1.421,0.375,1.509,0.15,2.033,3.454
SWE,2012,0.659,0.724,0.056,1.439,0.386,1.58,0.16,2.126,3.565
SWE,2013,0.656,0.738,0.054,1.448,0.397,1.639,0.161,2.196,3.644
SWE,2014,0.641,0.72,0.052,1.413,0.413,1.635,0.159,2.207,3.62
SWE,2015,0.613,0.692,0.054,1.359,0.422,1.604,0.152,2.178,3.537
TUR,2000,0.054,0.004,0.061,0.118,0.005,0.082,NA,0.088,0.206
TUR,2001,0.044,0.005,0.082,0.131,0.005,0.083,NA,0.088,0.219
TUR,2002,0.051,0.005,0.094,0.15,0.005,0.079,NA,0.084,0.234
TUR,2003,0.054,0.006,0.082,0.142,0.007,0.077,NA,0.084,0.226
TUR,2004,0.05,0.01,0.088,0.148,0.01,0.075,NA,0.085,0.233
TUR,2005,0.056,0.011,0.089,0.156,0.012,0.098,NA,0.11,0.266
TUR,2006,0.053,0.017,0.09,0.161,0.016,0.072,NA,0.087,0.248
TUR,2007,0.055,0.013,0.107,0.175,0.017,0.122,NA,0.14,0.315
TUR,2008,0.052,0.012,0.072,0.136,0.018,0.142,NA,0.16,0.296
TUR,2009,0.068,0.013,0.08,0.162,0.022,0.159,NA,0.181,0.342
TUR,2010,0.046,0.019,0.085,0.15,0.02,0.147,NA,0.167,0.317
TUR,2011,0.052,0.02,0.097,0.17,0.026,0.135,NA,0.161,0.33
TUR,2012,0.057,0.022,0.109,0.188,0.026,0.142,NA,0.168,0.357
TUR,2013,0.052,0.024,0.115,0.192,0.037,0.152,NA,0.189,0.381
TUR,2014,0.051,0.028,0.11,0.189,0.034,0.147,NA,0.182,0.371
TUR,2015,0.071,0.029,0.096,0.196,0.036,0.149,NA,0.185,0.381
TUR,2016,0.08,0.033,0.108,0.221,0.036,0.148,NA,0.184,0.405
USA,2000,0.135,NA,NA,0.135,NA,0.39,0.261,0.651,0.786
USA,2001,0.151,NA,NA,0.151,NA,0.403,0.266,0.668,0.819
USA,2002,0.149,NA,NA,0.149,NA,0.416,0.279,0.695,0.844
USA,2003,0.152,NA,NA,0.152,NA,0.366,0.279,0.645,0.797
USA,2004,0.129,NA,NA,0.129,NA,0.346,0.266,0.612,0.741
USA,2005,0.117,NA,NA,0.117,NA,0.331,0.254,0.585,0.702
USA,2006,0.106,NA,NA,0.106,NA,0.349,0.251,0.6,0.706
USA,2007,0.1,NA,NA,0.1,NA,0.364,0.237,0.6,0.7
USA,2008,0.103,NA,NA,0.103,NA,0.355,0.245,0.6,0.703
USA,2009,0.107,NA,NA,0.107,NA,0.368,0.264,0.632,0.739
USA,2010,0.096,NA,NA,0.096,NA,0.381,0.27,0.651,0.747
USA,2011,0.094,NA,NA,0.094,NA,0.368,0.26,0.628,0.722
USA,2012,0.087,NA,NA,0.087,NA,0.348,0.253,0.601,0.688
USA,2013,0.091,NA,NA,0.091,NA,0.332,0.247,0.579,0.67
USA,2014,0.082,NA,NA,0.082,NA,0.331,0.235,0.567,0.648
USA,2015,0.074,NA,NA,0.074,NA,0.33,0.239,0.568,0.642
USA,2016,0.069,NA,NA,0.069,NA,0.331,0.238,0.569,0.638
USA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA
